Artist,Decade,Alignment,Divergence,Num_Songs,Artist_valence,Artist_energy,Artist_danceability,Artist_acousticness,Artist_liveness,Era_valence,Era_energy,Era_danceability,Era_acousticness,Era_liveness
Drake,2000s,0.8283,0.3586,1,0.558,0.922,0.395,0.19,0.134,0.5331,0.6568,0.6274,0.1388,0.1656
Drake,2010s,0.9778,0.0976,56,0.3627,0.5512,0.6976,0.1672,0.1993,0.4208,0.6054,0.648,0.1712,0.1721
Elton John,1970s,0.9919,0.1127,20,0.5467,0.5847,0.5471,0.3241,0.174,0.6401,0.6241,0.5765,0.3583,0.1939
Elton John,1980s,0.9982,0.0761,14,0.6549,0.6696,0.6278,0.197,0.1967,0.7045,0.6877,0.6783,0.2183,0.1949
Elton John,1990s,0.9954,0.1519,10,0.382,0.5124,0.5087,0.2249,0.1701,0.4438,0.6041,0.5956,0.2821,0.1633
Madonna,1980s,0.9946,0.1056,19,0.7578,0.7005,0.7172,0.2225,0.1136,0.7045,0.6877,0.6783,0.2183,0.1949
Madonna,1990s,0.9899,0.059,24,0.3876,0.5969,0.6081,0.2914,0.1584,0.4438,0.6041,0.5956,0.2821,0.1633
Madonna,2000s,0.9945,0.1832,10,0.6558,0.7681,0.6871,0.1183,0.1194,0.5331,0.6568,0.6274,0.1388,0.1656
Mariah Carey,1990s,0.9758,0.0978,16,0.4641,0.5629,0.5891,0.3678,0.1708,0.4438,0.6041,0.5956,0.2821,0.1633
Mariah Carey,2000s,0.95,0.1628,10,0.5734,0.5228,0.6797,0.1804,0.2151,0.5331,0.6568,0.6274,0.1388,0.1656
Michael Jackson,1970s,0.9695,0.1313,10,0.7303,0.6068,0.6302,0.3537,0.2706,0.6401,0.6241,0.5765,0.3583,0.1939
Michael Jackson,1980s,0.9774,0.1153,16,0.6186,0.7261,0.7348,0.2411,0.222,0.7045,0.6877,0.6783,0.2183,0.1949
Michael Jackson,1990s,0.9935,0.1768,11,0.5247,0.69,0.7257,0.27,0.1794,0.4438,0.6041,0.5956,0.2821,0.1633
Michael Jackson,2000s,0.9601,0.2814,2,0.75,0.664,0.781,0.0482,0.1825,0.5331,0.6568,0.6274,0.1388,0.1656
Rihanna,2000s,0.9954,0.057,10,0.5352,0.6449,0.6826,0.1357,0.1721,0.5331,0.6568,0.6274,0.1388,0.1656
Rihanna,2010s,0.9603,0.1506,15,0.5193,0.6893,0.5869,0.1254,0.1617,0.4208,0.6054,0.648,0.1712,0.1721
Stevie Wonder,1960s,0.9645,0.157,12,0.7638,0.528,0.5682,0.1999,0.1609,0.7116,0.6406,0.5298,0.2794,0.1992
Stevie Wonder,1970s,0.9817,0.11,18,0.6874,0.5898,0.5952,0.2706,0.1685,0.6401,0.6241,0.5765,0.3583,0.1939
Stevie Wonder,1980s,0.9111,0.2417,14,0.6935,0.4716,0.6668,0.298,0.1234,0.7045,0.6877,0.6783,0.2183,0.1949
Stevie Wonder,1990s,0.7365,0.3212,1,0.292,0.549,0.467,0.0859,0.312,0.4438,0.6041,0.5956,0.2821,0.1633
Taylor Swift,2000s,0.982,0.1354,21,0.4312,0.6595,0.5406,0.1183,0.166,0.5331,0.6568,0.6274,0.1388,0.1656
Taylor Swift,2010s,0.9918,0.0598,59,0.4508,0.6356,0.6166,0.1867,0.149,0.4208,0.6054,0.648,0.1712,0.1721
The Beatles,1960s,0.9939,0.0576,53,0.7495,0.6371,0.5246,0.3212,0.1895,0.7116,0.6406,0.5298,0.2794,0.1992
The Beatles,1970s,0.9555,0.1259,3,0.6987,0.5517,0.594,0.4277,0.1486,0.6401,0.6241,0.5765,0.3583,0.1939
The Beatles,1990s,0.8868,0.1801,3,0.5803,0.5637,0.4857,0.2892,0.1675,0.4438,0.6041,0.5956,0.2821,0.1633
The Rolling Stones,1960s,0.945,0.1499,23,0.5969,0.7074,0.5219,0.2245,0.2415,0.7116,0.6406,0.5298,0.2794,0.1992
The Rolling Stones,1970s,0.9291,0.1864,15,0.6359,0.7439,0.5541,0.4984,0.2087,0.6401,0.6241,0.5765,0.3583,0.1939
The Rolling Stones,1980s,0.9028,0.3104,12,0.8054,0.8893,0.6137,0.113,0.3689,0.7045,0.6877,0.6783,0.2183,0.1949
The Rolling Stones,1990s,0.9329,0.2811,5,0.542,0.8004,0.5358,0.1385,0.0818,0.4438,0.6041,0.5956,0.2821,0.1633
The Rolling Stones,2000s,0.7482,0.4021,1,0.561,0.668,0.702,0.518,0.0588,0.5331,0.6568,0.6274,0.1388,0.1656
